dosya,kaynak,tur,seviye,brightness,contrast,blur_score,gurultu_tahmini,entropi,siddet_skoru
veriseti/sentetik/1_gurultu_hafif_0.png,1,gurultu,hafif,120.27676010131836,54.83291144242936,3981.314417112992,14.077515294373972,7.6345260751928015,0.3
veriseti/sentetik/1_karanlik_hafif_1.png,1,karanlik,hafif,89.18075211842854,39.36315627577236,23.401218849751686,0.34980341829837364,6.9007387411494205,0.3
veriseti/sentetik/1_bulanik_hafif_2.png,1,bulanik,hafif,120.77066389719646,52.72029164061842,9.429253202232049,0.26219002089358473,7.407363513084947,0.3
veriseti/sentetik/1_karisik_hafif_3.png,1,karisik,hafif,88.68497721354167,41.77911751926758,3962.6695543911824,14.08057753540586,7.296901488293584,0.3
veriseti/sentetik/1_gurultu_hafif_4.png,1,gurultu,hafif,120.26666641235352,53.8400214075295,1812.3239219358845,9.454341903991349,7.542619153162309,0.3
veriseti/sentetik/1_karanlik_hafif_5.png,1,karanlik,hafif,82.33987236022949,36.3743745539251,20.156987979901007,0.33438978569880234,6.788309650269131,0.3
veriseti/sentetik/1_bulanik_hafif_6.png,1,bulanik,hafif,120.77066389719646,52.72029164061842,9.429253202232049,0.26219002089358473,7.407363513084947,0.3
veriseti/sentetik/1_karisik_hafif_7.png,1,karisik,hafif,81.83519585927327,37.57269951667977,1791.9021810722477,9.446116228482143,7.08498722675218,0.3
veriseti/sentetik/1_gurultu_hafif_8.png,1,gurultu,hafif,120.2722225189209,53.96542912327176,2063.7185541430367,10.09593427775533,7.555490133258978,0.3
veriseti/sentetik/1_karanlik_hafif_9.png,1,karanlik,hafif,81.55115254720052,36.01751947145601,19.78943713127137,0.3329042883213987,6.7774948321762105,0.3
veriseti/sentetik/1_bulanik_hafif_10.png,1,bulanik,hafif,120.79583708445232,52.84771895646893,15.191956158169583,0.2635345557510359,7.409424215020353,0.3
veriseti/sentetik/1_karisik_hafif_11.png,1,karisik,hafif,81.03954029083252,37.39174433034801,2045.1822771727118,10.101611047415078,7.0920700677955475,0.3
veriseti/sentetik/1_gurultu_hafif_12.png,1,gurultu,hafif,120.26657358805339,53.44491808801305,950.7753893518299,6.786875194430858,7.492142456419671,0.3
veriseti/sentetik/1_karanlik_hafif_13.png,1,karanlik,hafif,68.90488211313884,30.464866864419854,14.521927084870692,0.30573332999602065,6.563908785470152,0.3
veriseti/sentetik/1_bulanik_hafif_14.png,1,bulanik,hafif,120.77066389719646,52.72029164061842,9.429253202232049,0.26219002089358473,7.407363513084947,0.3
veriseti/sentetik/1_karisik_hafif_15.png,1,karisik,hafif,68.40145492553711,31.197505120338285,923.5531268347125,6.764192275090598,6.789450473246081,0.3
veriseti/sentetik/1_gurultu_hafif_16.png,1,gurultu,hafif,120.27030118306477,54.998789550078314,4345.155940582348,14.71340587397041,7.646973568192173,0.3
veriseti/sentetik/1_karanlik_hafif_17.png,1,karanlik,hafif,89.1743647257487,39.35757100210351,23.395506659908175,0.34982870902433305,6.900924341672349,0.3
veriseti/sentetik/1_bulanik_hafif_18.png,1,bulanik,hafif,120.79583708445232,52.84771895646893,15.191956158169583,0.2635345557510359,7.409424215020353,0.3
veriseti/sentetik/1_karisik_hafif_19.png,1,karisik,hafif,88.68937810262044,41.989189570962374,4314.556446696935,14.695866955181202,7.311930136445933,0.3
veriseti/sentetik/1_gurultu_hafif_20.png,1,gurultu,hafif,120.26947975158691,53.47455804626381,1021.8136328624096,7.044581036502761,7.496909180820984,0.3
veriseti/sentetik/1_karanlik_hafif_21.png,1,karanlik,hafif,70.81106090545654,31.305782452164305,15.2715869327673,0.3106102471700355,6.595124958166612,0.3
veriseti/sentetik/1_bulanik_hafif_22.png,1,bulanik,hafif,120.79583708445232,52.84771895646893,15.191956158169583,0.2635345557510359,7.409424215020353,0.3
veriseti/sentetik/1_karisik_hafif_23.png,1,karisik,hafif,70.30690956115723,32.077069898635244,998.0828249175053,7.0400612510011085,6.83147434439073,0.3
veriseti/sentetik/1_gurultu_orta_24.png,1,gurultu,orta,120.30408954620361,57.023344903623965,8877.477419978653,21.084445494704664,7.758481313982759,0.6
veriseti/sentetik/1_karanlik_orta_25.png,1,karanlik,orta,52.28527069091797,23.173901669863483,8.892106628768083,0.26609231335457534,6.196086442050892,0.6
veriseti/sentetik/1_bulanik_orta_26.png,1,bulanik,orta,120.76938343048096,52.54775784744135,5.504160532359189,0.2560202151867095,7.405125233428692,0.6
